column,name,short_name,type
213,Memory space activity:(d/dx ((PS Perm Gen.MemoryPool.Usage.committed / PS Perm Gen.MemoryPool.Usage.max))),Memory space activity:PS Perm Gen.committed,dbl
214,Available db connection activity:(d/dx (source02.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source02.JDBCConnectionPoolRuntime,dbl
215,Failed wait for connection:(incld/dx (source09.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source09.JDBCDataSourceRuntime,dbl
216,Failing reserve requests:(incld/dx (source03.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source03.JDBCDataSourceRuntime,dbl
217,Failing reserve requests:(incld/dx (source10.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source10.JDBCDataSourceRuntime,dbl
218,Stuck threads:(source06.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source06,dbl
219,DB connection started:(incld/dx (source09.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source09.JDBCDataSourceRuntime,dbl
220,Active connections:(source04.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source04.JDBCDataSourceRuntime,dbl
221,Successful wait for connection:(incld/dx (source01.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source01.JDBCDataSourceRuntime,dbl
222,Memory space activity:(d/dx ((PS Eden Space.MemoryPool.Usage.committed / PS Eden Space.MemoryPool.Usage.max))),Memory space activity:PS Eden Space.Committed,dbl
223,Connection delay:(source08.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source08.JDBCDataSourceRuntime,dbl
224,Active transactions:(JTARuntime.ActiveTransactionsTotalCount),Active transactions:JTARuntime,dbl
225,DB connection started:(incld/dx (source06.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source06.JDBCDataSourceRuntime,dbl
226,Available db connection activity:(d/dx (source08.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source08.JDBCDataSourceRuntime,dbl
227,Available db connection activity:(d/dx (source10.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source10.JDBCConnectionPoolRuntime,dbl
228,Rel. unavailable connections:((source04.JDBCDataSourceRuntime.NumUnavailable / source04.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source04.JDBCDataSourceRuntime,dbl
229,Failed wait for connection:(incld/dx (source08.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source08.JDBCDataSourceRuntime,dbl
230,Rel. unavailable connections:((source08.JDBCDataSourceRuntime.NumUnavailable / source08.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source08.JDBCDataSourceRuntime,dbl
231,Stuck threads:(source05.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source05,dbl
232,Process CPU:(\Process(java)\CPU),Process CPU,dbl
233,Successful wait for connection:(incld/dx (source03.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source03.JDBCDataSourceRuntime,dbl
234,Failed wait for connection:(incld/dx (source03.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source03.JDBCDataSourceRuntime,dbl
235,Connection delay:(source02.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source02.JDBCDataSourceRuntime,dbl
